20, 1031, 1.591658583899127
sensor values: 1.278102167842E9:0.40232944, 0.046253502, 0.47245115
sensor values: 1.278102167843E9:0.090352714, 0.29389858, 0.3858379
sensor values: 1.278102167844E9:0.8940974, 0.1486237, 0.028090656
sensor values: 1.278102167845E9:0.02959174, 0.4288693, 0.20464438
sensor values: 1.278102167846E9:0.03795767, 0.8369661, 0.019182265
sensor values: 1.278102167847E9:0.31389034, 0.6918209, 0.6878186
sensor values: 1.278102167848E9:0.038987458, 0.31170005, 0.4169919
sensor values: 1.278102167849E9:0.1023463, 0.6876059, 0.80760515
sensor values: 1.278102167850999E9:0.0015480518, 0.9177941, 0.8122653
sensor values: 1.278102167851999E9:0.9557016, 0.7143284, 0.41475886
sensor values: 1.278102167852999E9:0.22229427, 0.7524241, 0.9702253
sensor values: 1.278102167853999E9:0.45951122, 0.6863424, 0.9056599
sensor values: 1.278102167854999E9:0.6886025, 0.018519223, 0.10382801
sensor values: 1.278102167855999E9:0.2472865, 0.45236605, 0.1747061
sensor values: 1.278102167856999E9:0.31998563, 0.36367476, 0.296471
sensor values: 1.278102167857999E9:0.35482097, 0.9797922, 0.12323111
sensor values: 1.278102167858999E9:0.074472845, 0.54817075, 0.088252544
sensor values: 1.278102167859999E9:0.024217784, 0.24369836, 0.15982318
sensor values: 1.278102167860999E9:0.91063786, 0.75237, 0.09142381
sensor values: 1.278102167861999E9:0.066352785, 0.37601072, 0.35913426
sensor values: 1.278102167863998E9:0.9731864, 0.60646737, 0.5390468
sensor values: 1.278102167864998E9:0.80129707, 0.11310488, 0.4399053
sensor values: 1.278102167865998E9:0.46640998, 0.19941819, 0.166148
sensor values: 1.278102167866998E9:0.16889971, 0.29504204, 0.9630354
sensor values: 1.278102167867998E9:0.891119, 0.046222627, 0.27572453
sensor values: 1.278102167868998E9:0.54625046, 0.36202013, 0.093815744
sensor values: 1.278102167869998E9:0.52470464, 0.5147774, 0.32895666
sensor values: 1.278102167870998E9:0.7688441, 0.49463135, 0.7490007
sensor values: 1.278102167871998E9:0.7845214, 0.9547696, 0.14501506
