20, 1, 42.0
sensor values: 1.278293163272E9:0.6017107, 0.98981446, 0.4964648
 


_________________


20, 11, 1.2727272727272727
sensor values: 1.278293163273E9:0.6785901, 0.15289396, 0.37891328
sensor values: 1.278293163274E9:0.31537586, 0.76857764, 0.5796971
sensor values: 1.278293163275E9:0.68369746, 0.29051304, 0.14729404
sensor values: 1.278293163276E9:0.21158355, 0.35242742, 0.18389231
sensor values: 1.278293163277E9:0.67540675, 0.99860257, 0.18461019
sensor values: 1.278293163278E9:0.62376887, 0.9201413, 0.40649545
sensor values: 1.278293163279E9:0.28172493, 0.3033833, 0.5251204
sensor values: 1.278293163279999E9:0.8011732, 0.6521154, 0.69769466
sensor values: 1.278293163280999E9:0.40213323, 0.3591962, 0.4758743
sensor values: 1.278293163281999E9:0.41936415, 0.7717489, 0.17721254
sensor values: 1.278293163282999E9:0.26029736, 0.14360958, 0.03982365
 


_________________


20, 99, 0.1414141414141414
sensor values: 1.278293163283999E9:0.5151871, 0.8698593, 0.9288315
sensor values: 1.278293163284999E9:0.24400824, 0.36384165, 0.3265487
sensor values: 1.278293163285999E9:0.9033473, 0.9760441, 0.78481734
sensor values: 1.278293163286999E9:0.8048001, 0.10101366, 0.87275773
sensor values: 1.278293163287999E9:0.63207805, 0.9263088, 0.64844346
sensor values: 1.278293163288999E9:0.7651729, 0.36503744, 0.15797246
sensor values: 1.278293163289999E9:0.23803204, 0.6281275, 0.13847339
sensor values: 1.278293163290999E9:0.2734474, 0.58383024, 0.5324019
sensor values: 1.278293163291999E9:0.27278566, 0.7258517, 0.3367852
sensor values: 1.278293163292999E9:0.7709578, 0.5324678, 0.7446192
sensor values: 1.278293163293998E9:0.23299229, 0.3168993, 0.47333807
sensor values: 1.278293163294998E9:0.6901705, 0.32996553, 0.33276707
sensor values: 1.278293163295998E9:0.9532782, 0.9307995, 0.33376533
sensor values: 1.278293163296998E9:0.85146207, 0.8707434, 0.32998258
sensor values: 1.278293163297998E9:0.7819715, 0.20428264, 0.32455552
sensor values: 1.278293163298998E9:0.51034236, 0.2874344, 0.7001983
sensor values: 1.278293163299998E9:0.8425014, 0.8819863, 0.9945811
sensor values: 1.278293163300998E9:0.33464158, 0.66070855, 0.055286467
sensor values: 1.278293163301998E9:0.6985163, 0.5009733, 0.44693375
sensor values: 1.278293163302998E9:0.5968673, 0.8376014, 0.32168573
sensor values: 1.278293163303998E9:0.43570536, 0.10626626, 0.41858625
sensor values: 1.278293163304998E9:0.04079938, 0.90923464, 0.59117764
sensor values: 1.278293163305998E9:0.26131243, 0.108348966, 0.93332875
sensor values: 1.278293163306998E9:0.9812684, 0.16473663, 0.03004539
sensor values: 1.278293163307997E9:0.5009779, 0.05227822, 0.37037402
sensor values: 1.278293163308997E9:0.59095216, 0.8972758, 0.8196076
